Sample in Buffer,Sample in Window,TRIGGER,u_fifo_ctrl/tFpgaRead[63:0],u_fifo_ctrl/tFpgaWrite[63:0],u_fifo_ctrl/tMaxPcLoop[63:0],u_fifo_ctrl/tPcLoop[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
177,177,0,259,1087,771078,94235
178,178,0,259,1087,771078,94235
179,179,0,259,1087,771078,94235
180,180,0,259,1087,771078,94235
181,181,0,259,1087,771078,94235
182,182,0,259,1087,771078,94235
183,183,0,259,1087,771078,94235
184,184,0,259,1087,771078,94235
185,185,0,259,1087,771078,94235
186,186,0,259,1087,771078,94235
187,187,0,259,1087,771078,94235
188,188,0,259,1087,771078,94235
189,189,0,259,1087,771078,94235
190,190,0,259,1087,771078,94235
191,191,0,259,1087,771078,94235
192,192,0,259,1087,771078,94235
193,193,0,259,1087,771078,94235
194,194,0,259,1087,771078,94235
195,195,0,259,1087,771078,94235
196,196,0,259,1087,771078,94235
197,197,0,259,1087,771078,94235
198,198,0,259,1087,771078,94235
199,199,0,259,1087,771078,94235
200,200,0,259,1087,771078,94235
201,201,0,259,1087,771078,94235
202,202,0,259,1087,771078,94235
203,203,0,259,1087,771078,94235
204,204,0,259,1087,771078,94235
205,205,0,259,1087,771078,94235
206,206,0,259,1087,771078,94235
207,207,0,259,1087,771078,94235
208,208,0,259,1087,771078,94235
209,209,0,259,1087,771078,94235
210,210,0,259,1087,771078,94235
211,211,0,259,1087,771078,94235
212,212,0,259,1087,771078,94235
213,213,0,259,1087,771078,94235
214,214,0,259,1087,771078,94235
215,215,0,259,1087,771078,94235
216,216,0,259,1087,771078,94235
217,217,0,259,1087,771078,94235
218,218,0,259,1087,771078,94235
219,219,0,259,1087,771078,94235
220,220,0,259,1087,771078,94235
221,221,0,259,1087,771078,94235
222,222,0,259,1087,771078,94235
223,223,0,259,1087,771078,94235
224,224,0,259,1087,771078,94235
225,225,0,259,1087,771078,94235
226,226,0,259,1087,771078,94235
227,227,0,259,1087,771078,94235
228,228,0,259,1087,771078,94235
229,229,0,259,1087,771078,94235
230,230,0,259,1087,771078,94235
231,231,0,259,1087,771078,94235
232,232,0,259,1087,771078,94235
233,233,0,259,1087,771078,94235
234,234,0,259,1087,771078,94235
235,235,0,259,1087,771078,94235
236,236,0,259,1087,771078,94235
237,237,0,259,1087,771078,94235
238,238,0,259,1087,771078,94235
239,239,0,259,1087,771078,94235
240,240,0,259,1087,771078,94235
241,241,0,259,1087,771078,94235
242,242,0,259,1087,771078,94235
243,243,0,259,1087,771078,94235
244,244,0,259,1087,771078,94235
245,245,0,259,1087,771078,94235
246,246,0,259,1087,771078,94235
247,247,0,259,1087,771078,94235
248,248,0,259,1087,771078,94235
249,249,0,259,1087,771078,94235
250,250,0,259,1087,771078,94235
251,251,0,259,1087,771078,94235
252,252,0,259,1087,771078,94235
253,253,0,259,1087,771078,94235
254,254,0,259,1087,771078,94235
255,255,0,259,1087,771078,94235
256,256,0,259,1087,771078,94235
257,257,0,259,1087,771078,94235
258,258,0,259,1087,771078,94235
259,259,0,259,1087,771078,94235
260,260,0,259,1087,771078,94235
261,261,0,259,1087,771078,94235
262,262,0,259,1087,771078,94235
263,263,0,259,1087,771078,94235
264,264,0,259,1087,771078,94235
265,265,0,259,1087,771078,94235
266,266,0,259,1087,771078,94235
267,267,0,259,1087,771078,94235
268,268,0,259,1087,771078,94235
269,269,0,259,1087,771078,94235
270,270,0,259,1087,771078,94235
271,271,0,259,1087,771078,94235
272,272,0,259,1087,771078,94235
273,273,0,259,1087,771078,94235
274,274,0,259,1087,771078,94235
275,275,0,259,1087,771078,94235
276,276,0,259,1087,771078,94235
277,277,0,259,1087,771078,94235
278,278,0,259,1087,771078,94235
279,279,0,259,1087,771078,94235
280,280,0,259,1087,771078,94235
281,281,0,259,1087,771078,94235
282,282,0,259,1087,771078,94235
283,283,0,259,1087,771078,94235
284,284,0,259,1087,771078,94235
285,285,0,259,1087,771078,94235
286,286,0,259,1087,771078,94235
287,287,0,259,1087,771078,94235
288,288,0,259,1087,771078,94235
289,289,0,259,1087,771078,94235
290,290,0,259,1087,771078,94235
291,291,0,259,1087,771078,94235
292,292,0,259,1087,771078,94235
293,293,0,259,1087,771078,94235
294,294,0,259,1087,771078,94235
295,295,0,259,1087,771078,94235
296,296,0,259,1087,771078,94235
297,297,0,259,1087,771078,94235
298,298,0,259,1087,771078,94235
299,299,0,259,1087,771078,94235
300,300,0,259,1087,771078,94235
301,301,0,259,1087,771078,94235
302,302,0,259,1087,771078,94235
303,303,0,259,1087,771078,94235
304,304,0,259,1087,771078,94235
305,305,0,259,1087,771078,94235
306,306,0,259,1087,771078,94235
307,307,0,259,1087,771078,94235
308,308,0,259,1087,771078,94235
309,309,0,259,1087,771078,94235
310,310,0,259,1087,771078,94235
311,311,0,259,1087,771078,94235
312,312,0,259,1087,771078,94235
313,313,0,259,1087,771078,94235
314,314,0,259,1087,771078,94235
315,315,0,259,1087,771078,94235
316,316,0,259,1087,771078,94235
317,317,0,259,1087,771078,94235
318,318,0,259,1087,771078,94235
319,319,0,259,1087,771078,94235
320,320,0,259,1087,771078,94235
321,321,0,259,1087,771078,94235
322,322,0,259,1087,771078,94235
323,323,0,259,1087,771078,94235
324,324,0,259,1087,771078,94235
325,325,0,259,1087,771078,94235
326,326,0,259,1087,771078,94235
327,327,0,259,1087,771078,94235
328,328,0,259,1087,771078,94235
329,329,0,259,1087,771078,94235
330,330,0,259,1087,771078,94235
331,331,0,259,1087,771078,94235
332,332,0,259,1087,771078,94235
333,333,0,259,1087,771078,94235
334,334,0,259,1087,771078,94235
335,335,0,259,1087,771078,94235
336,336,0,259,1087,771078,94235
337,337,0,259,1087,771078,94235
338,338,0,259,1087,771078,94235
339,339,0,259,1087,771078,94235
340,340,0,259,1087,771078,94235
341,341,0,259,1087,771078,94235
342,342,0,259,1087,771078,94235
343,343,0,259,1087,771078,94235
344,344,0,259,1087,771078,94235
345,345,0,259,1087,771078,94235
346,346,0,259,1087,771078,94235
347,347,0,259,1087,771078,94235
348,348,0,259,1087,771078,94235
349,349,0,259,1087,771078,94235
350,350,0,259,1087,771078,94235
351,351,0,259,1087,771078,94235
352,352,0,259,1087,771078,94235
353,353,0,259,1087,771078,94235
354,354,0,259,1087,771078,94235
355,355,0,259,1087,771078,94235
356,356,0,259,1087,771078,94235
357,357,0,259,1087,771078,94235
358,358,0,259,1087,771078,94235
359,359,0,259,1087,771078,94235
360,360,0,259,1087,771078,94235
361,361,0,259,1087,771078,94235
362,362,0,259,1087,771078,94235
363,363,0,259,1087,771078,94235
364,364,0,259,1087,771078,94235
365,365,0,259,1087,771078,94235
366,366,0,259,1087,771078,94235
367,367,0,259,1087,771078,94235
368,368,0,259,1087,771078,94235
369,369,0,259,1087,771078,94235
370,370,0,259,1087,771078,94235
371,371,0,259,1087,771078,94235
372,372,0,259,1087,771078,94235
373,373,0,259,1087,771078,94235
374,374,0,259,1087,771078,94235
375,375,0,259,1087,771078,94235
376,376,0,259,1087,771078,94235
377,377,0,259,1087,771078,94235
378,378,0,259,1087,771078,94235
379,379,0,259,1087,771078,94235
380,380,0,259,1087,771078,94235
381,381,0,259,1087,771078,94235
382,382,0,259,1087,771078,94235
383,383,0,259,1087,771078,94235
384,384,0,259,1087,771078,94235
385,385,0,259,1087,771078,94235
386,386,0,259,1087,771078,94235
387,387,0,259,1087,771078,94235
388,388,0,259,1087,771078,94235
389,389,0,259,1087,771078,94235
390,390,0,259,1087,771078,94235
391,391,0,259,1087,771078,94235
392,392,0,259,1087,771078,94235
393,393,0,259,1087,771078,94235
394,394,0,259,1087,771078,94235
395,395,0,259,1087,771078,94235
396,396,0,259,1087,771078,94235
397,397,0,259,1087,771078,94235
398,398,0,259,1087,771078,94235
399,399,0,259,1087,771078,94235
400,400,0,259,1087,771078,94235
401,401,0,259,1087,771078,94235
402,402,0,259,1087,771078,94235
403,403,0,259,1087,771078,94235
404,404,0,259,1087,771078,94235
405,405,0,259,1087,771078,94235
406,406,0,259,1087,771078,94235
407,407,0,259,1087,771078,94235
408,408,0,259,1087,771078,94235
409,409,0,259,1087,771078,94235
410,410,0,259,1087,771078,94235
411,411,0,259,1087,771078,94235
412,412,0,259,1087,771078,94235
413,413,0,259,1087,771078,94235
414,414,0,259,1087,771078,94235
415,415,0,259,1087,771078,94235
416,416,0,259,1087,771078,94235
417,417,0,259,1087,771078,94235
418,418,0,259,1087,771078,94235
419,419,0,259,1087,771078,94235
420,420,0,259,1087,771078,94235
421,421,0,259,1087,771078,94235
422,422,0,259,1087,771078,94235
423,423,0,259,1087,771078,94235
424,424,0,259,1087,771078,94235
425,425,0,259,1087,771078,94235
426,426,0,259,1087,771078,94235
427,427,0,259,1087,771078,94235
428,428,0,259,1087,771078,94235
429,429,0,259,1087,771078,94235
430,430,0,259,1087,771078,94235
431,431,0,259,1087,771078,94235
432,432,0,259,1087,771078,94235
433,433,0,259,1087,771078,94235
434,434,0,259,1087,771078,94235
435,435,0,259,1087,771078,94235
436,436,0,259,1087,771078,94235
437,437,0,259,1087,771078,94235
438,438,0,259,1087,771078,94235
439,439,0,259,1087,771078,94235
440,440,0,259,1087,771078,94235
441,441,0,259,1087,771078,94235
442,442,0,259,1087,771078,94235
443,443,0,259,1087,771078,94235
444,444,0,259,1087,771078,94235
445,445,0,259,1087,771078,94235
446,446,0,259,1087,771078,94235
447,447,0,259,1087,771078,94235
448,448,0,259,1087,771078,94235
449,449,0,259,1087,771078,94235
450,450,0,259,1087,771078,94235
451,451,0,259,1087,771078,94235
452,452,0,259,1087,771078,94235
453,453,0,259,1087,771078,94235
454,454,0,259,1087,771078,94235
455,455,0,259,1087,771078,94235
456,456,0,259,1087,771078,94235
457,457,0,259,1087,771078,94235
458,458,0,259,1087,771078,94235
459,459,0,259,1087,771078,94235
460,460,0,259,1087,771078,94235
461,461,0,259,1087,771078,94235
462,462,0,259,1087,771078,94235
463,463,0,259,1087,771078,94235
464,464,0,259,1087,771078,94235
465,465,0,259,1087,771078,94235
466,466,0,259,1087,771078,94235
467,467,0,259,1087,771078,94235
468,468,0,259,1087,771078,94235
469,469,0,259,1087,771078,94235
470,470,0,259,1087,771078,94235
471,471,0,259,1087,771078,94235
472,472,0,259,1087,771078,94235
473,473,0,259,1087,771078,94235
474,474,0,259,1087,771078,94235
475,475,0,259,1087,771078,94235
476,476,0,259,1087,771078,94235
477,477,0,259,1087,771078,94235
478,478,0,259,1087,771078,94235
479,479,0,259,1087,771078,94235
480,480,0,259,1087,771078,94235
481,481,0,259,1087,771078,94235
482,482,0,259,1087,771078,94235
483,483,0,259,1087,771078,94235
484,484,0,259,1087,771078,94235
485,485,0,259,1087,771078,94235
486,486,0,259,1087,771078,94235
487,487,0,259,1087,771078,94235
488,488,0,259,1087,771078,94235
489,489,0,259,1087,771078,94235
490,490,0,259,1087,771078,94235
491,491,0,259,1087,771078,94235
492,492,0,259,1087,771078,94235
493,493,0,259,1087,771078,94235
494,494,0,259,1087,771078,94235
495,495,0,259,1087,771078,94235
496,496,0,259,1087,771078,94235
497,497,0,259,1087,771078,94235
498,498,0,259,1087,771078,94235
499,499,0,259,1087,771078,94235
500,500,0,259,1087,771078,94235
501,501,0,259,1087,771078,94235
502,502,0,259,1087,771078,94235
503,503,0,259,1087,771078,94235
504,504,0,259,1087,771078,94235
505,505,0,259,1087,771078,94235
506,506,0,259,1087,771078,94235
507,507,0,259,1087,771078,94235
508,508,0,259,1087,771078,94235
509,509,0,259,1087,771078,94235
510,510,0,259,1087,771078,94235
511,511,0,259,1087,771078,94235
512,512,1,259,1087,771078,94235
513,513,0,259,1087,771078,94235
514,514,0,259,1087,771078,94235
515,515,0,259,1087,771078,94235
516,516,0,259,1087,771078,94235
517,517,0,259,1087,771078,94235
518,518,0,259,1087,771078,94235
519,519,0,259,1087,771078,94235
520,520,0,259,1087,771078,94235
521,521,0,259,1087,771078,94235
522,522,0,259,1087,771078,94235
523,523,0,259,1087,771078,94235
524,524,0,259,1087,771078,94235
525,525,0,259,1087,771078,94235
526,526,0,259,1087,771078,94235
527,527,0,259,1087,771078,94235
528,528,0,259,1087,771078,94235
529,529,0,259,1087,771078,94235
530,530,0,259,1087,771078,94235
531,531,0,259,1087,771078,94235
532,532,0,259,1087,771078,94235
533,533,0,259,1087,771078,94235
534,534,0,259,1087,771078,94235
535,535,0,259,1087,771078,94235
536,536,0,259,1087,771078,94235
537,537,0,259,1087,771078,94235
538,538,0,259,1087,771078,94235
539,539,0,259,1087,771078,94235
540,540,0,259,1087,771078,94235
541,541,0,259,1087,771078,94235
542,542,0,259,1087,771078,94235
543,543,0,259,1087,771078,94235
544,544,0,259,1087,771078,94235
545,545,0,259,1087,771078,94235
546,546,0,259,1087,771078,94235
547,547,0,259,1087,771078,94235
548,548,0,259,1087,771078,94235
549,549,0,259,1087,771078,94235
550,550,0,259,1087,771078,94235
551,551,0,259,1087,771078,94235
552,552,0,259,1087,771078,94235
553,553,0,259,1087,771078,94235
554,554,0,259,1087,771078,94235
555,555,0,259,1087,771078,94235
556,556,0,259,1087,771078,94235
557,557,0,259,1087,771078,94235
558,558,0,259,1087,771078,94235
559,559,0,259,1087,771078,94235
560,560,0,259,1087,771078,94235
561,561,0,259,1087,771078,94235
562,562,0,259,1087,771078,94235
563,563,0,259,1087,771078,94235
564,564,0,259,1087,771078,94235
565,565,0,259,1087,771078,94235
566,566,0,259,1087,771078,94235
567,567,0,259,1087,771078,94235
568,568,0,259,1087,771078,94235
569,569,0,259,1087,771078,94235
570,570,0,259,1087,771078,94235
571,571,0,259,1087,771078,94235
572,572,0,259,1087,771078,94235
573,573,0,259,1087,771078,94235
574,574,0,259,1087,771078,94235
575,575,0,259,1087,771078,94235
576,576,0,259,1087,771078,94235
577,577,0,259,1087,771078,94235
578,578,0,259,1087,771078,94235
579,579,0,259,1087,771078,94235
580,580,0,259,1087,771078,94235
581,581,0,259,1087,771078,94235
582,582,0,259,1087,771078,94235
583,583,0,259,1087,771078,94235
584,584,0,259,1087,771078,94235
585,585,0,259,1087,771078,94235
586,586,0,259,1087,771078,94235
587,587,0,259,1087,771078,94235
588,588,0,259,1087,771078,94235
589,589,0,259,1087,771078,94235
590,590,0,259,1087,771078,94235
591,591,0,259,1087,771078,94235
592,592,0,259,1087,771078,94235
593,593,0,259,1087,771078,94235
594,594,0,259,1087,771078,94235
595,595,0,259,1087,771078,94235
596,596,0,259,1087,771078,94235
597,597,0,259,1087,771078,94235
598,598,0,259,1087,771078,94235
599,599,0,259,1087,771078,94235
600,600,0,259,1087,771078,94235
601,601,0,259,1087,771078,94235
602,602,0,259,1087,771078,94235
603,603,0,259,1087,771078,94235
604,604,0,259,1087,771078,94235
605,605,0,259,1087,771078,94235
606,606,0,259,1087,771078,94235
607,607,0,259,1087,771078,94235
608,608,0,259,1087,771078,94235
609,609,0,259,1087,771078,94235
610,610,0,259,1087,771078,94235
611,611,0,259,1087,771078,94235
612,612,0,259,1087,771078,94235
613,613,0,259,1087,771078,94235
614,614,0,259,1087,771078,94235
615,615,0,259,1087,771078,94235
616,616,0,259,1087,771078,94235
617,617,0,259,1087,771078,94235
618,618,0,259,1087,771078,94235
619,619,0,259,1087,771078,94235
620,620,0,259,1087,771078,94235
621,621,0,259,1087,771078,94235
622,622,0,259,1087,771078,94235
623,623,0,259,1087,771078,94235
624,624,0,259,1087,771078,94235
625,625,0,259,1087,771078,94235
626,626,0,259,1087,771078,94235
627,627,0,259,1087,771078,94235
628,628,0,259,1087,771078,94235
629,629,0,259,1087,771078,94235
630,630,0,259,1087,771078,94235
631,631,0,259,1087,771078,94235
