Sample in Buffer,Sample in Window,TRIGGER,u_fifo_ctrl/tFpgaRead[63:0],u_fifo_ctrl/tFpgaWrite[63:0],u_fifo_ctrl/tMaxPcLoop[63:0],u_fifo_ctrl/tPcLoop[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
781,781,0,259,1087,771078,94235
782,782,0,259,1087,771078,94235
783,783,0,259,1087,771078,94235
784,784,0,259,1087,771078,94235
785,785,0,259,1087,771078,94235
786,786,0,259,1087,771078,94235
787,787,0,259,1087,771078,94235
788,788,0,259,1087,771078,94235
789,789,0,259,1087,771078,94235
790,790,0,259,1087,771078,94235
791,791,0,259,1087,771078,94235
792,792,0,259,1087,771078,94235
793,793,0,259,1087,771078,94235
794,794,0,259,1087,771078,94235
795,795,0,259,1087,771078,94235
796,796,0,259,1087,771078,94235
797,797,0,259,1087,771078,94235
798,798,0,259,1087,771078,94235
799,799,0,259,1087,771078,94235
800,800,0,259,1087,771078,94235
801,801,0,259,1087,771078,94235
802,802,0,259,1087,771078,94235
803,803,0,259,1087,771078,94235
804,804,0,259,1087,771078,94235
805,805,0,259,1087,771078,94235
806,806,0,259,1087,771078,94235
807,807,0,259,1087,771078,94235
808,808,0,259,1087,771078,94235
809,809,0,259,1087,771078,94235
810,810,0,259,1087,771078,94235
811,811,0,259,1087,771078,94235
812,812,0,259,1087,771078,94235
813,813,0,259,1087,771078,94235
814,814,0,259,1087,771078,94235
815,815,0,259,1087,771078,94235
816,816,0,259,1087,771078,94235
817,817,0,259,1087,771078,94235
818,818,0,259,1087,771078,94235
819,819,0,259,1087,771078,94235
820,820,0,259,1087,771078,94235
821,821,0,259,1087,771078,94235
822,822,0,259,1087,771078,94235
823,823,0,259,1087,771078,94235
824,824,0,259,1087,771078,94235
825,825,0,259,1087,771078,94235
826,826,0,259,1087,771078,94235
827,827,0,259,1087,771078,94235
828,828,0,259,1087,771078,94235
829,829,0,259,1087,771078,94235
830,830,0,259,1087,771078,94235
831,831,0,259,1087,771078,94235
832,832,0,259,1087,771078,94235
833,833,0,259,1087,771078,94235
834,834,0,259,1087,771078,94235
835,835,0,259,1087,771078,94235
836,836,0,259,1087,771078,94235
837,837,0,259,1087,771078,94235
838,838,0,259,1087,771078,94235
839,839,0,259,1087,771078,94235
840,840,0,259,1087,771078,94235
841,841,0,259,1087,771078,94235
842,842,0,259,1087,771078,94235
843,843,0,259,1087,771078,94235
844,844,0,259,1087,771078,94235
845,845,0,259,1087,771078,94235
846,846,0,259,1087,771078,94235
847,847,0,259,1087,771078,94235
848,848,0,259,1087,771078,94235
849,849,0,259,1087,771078,94235
850,850,0,259,1087,771078,94235
851,851,0,259,1087,771078,94235
852,852,0,259,1087,771078,94235
853,853,0,259,1087,771078,94235
854,854,0,259,1087,771078,94235
855,855,0,259,1087,771078,94235
856,856,0,259,1087,771078,94235
857,857,0,259,1087,771078,94235
858,858,0,259,1087,771078,94235
859,859,0,259,1087,771078,94235
860,860,0,259,1087,771078,94235
861,861,0,259,1087,771078,94235
862,862,0,259,1087,771078,94235
863,863,0,259,1087,771078,94235
864,864,0,259,1087,771078,94235
865,865,0,259,1087,771078,94235
866,866,0,259,1087,771078,94235
867,867,0,259,1087,771078,94235
868,868,0,259,1087,771078,94235
869,869,0,259,1087,771078,94235
870,870,0,259,1087,771078,94235
871,871,0,259,1087,771078,94235
872,872,0,259,1087,771078,94235
873,873,0,259,1087,771078,94235
874,874,0,259,1087,771078,94235
875,875,0,259,1087,771078,94235
876,876,0,259,1087,771078,94235
877,877,0,259,1087,771078,94235
878,878,0,259,1087,771078,94235
879,879,0,259,1087,771078,94235
880,880,0,259,1087,771078,94235
881,881,0,259,1087,771078,94235
882,882,0,259,1087,771078,94235
883,883,0,259,1087,771078,94235
884,884,0,259,1087,771078,94235
885,885,0,259,1087,771078,94235
886,886,0,259,1087,771078,94235
887,887,0,259,1087,771078,94235
888,888,0,259,1087,771078,94235
889,889,0,259,1087,771078,94235
890,890,0,259,1087,771078,94235
891,891,0,259,1087,771078,94235
892,892,0,259,1087,771078,94235
893,893,0,259,1087,771078,94235
894,894,0,259,1087,771078,94235
895,895,0,259,1087,771078,94235
896,896,0,259,1087,771078,94235
897,897,0,259,1087,771078,94235
898,898,0,259,1087,771078,94235
899,899,0,259,1087,771078,94235
900,900,0,259,1087,771078,94235
901,901,0,259,1087,771078,94235
902,902,0,259,1087,771078,94235
903,903,0,259,1087,771078,94235
904,904,0,259,1087,771078,94235
905,905,0,259,1087,771078,94235
906,906,0,259,1087,771078,94235
907,907,0,259,1087,771078,94235
908,908,0,259,1087,771078,94235
909,909,0,259,1087,771078,94235
910,910,0,259,1087,771078,94235
911,911,0,259,1087,771078,94235
912,912,0,259,1087,771078,94235
913,913,0,259,1087,771078,94235
914,914,0,259,1087,771078,94235
915,915,0,259,1087,771078,94235
916,916,0,259,1087,771078,94235
917,917,0,259,1087,771078,94235
918,918,0,259,1087,771078,94235
919,919,0,259,1087,771078,94235
920,920,0,259,1087,771078,94235
921,921,0,259,1087,771078,94235
922,922,0,259,1087,771078,94235
923,923,0,259,1087,771078,94235
924,924,0,259,1087,771078,94235
925,925,0,259,1087,771078,94235
926,926,0,259,1087,771078,94235
927,927,0,259,1087,771078,94235
928,928,0,259,1087,771078,94235
929,929,0,259,1087,771078,94235
930,930,0,259,1087,771078,94235
931,931,0,259,1087,771078,94235
932,932,0,259,1087,771078,94235
933,933,0,259,1087,771078,94235
934,934,0,259,1087,771078,94235
935,935,0,259,1087,771078,94235
936,936,0,259,1087,771078,94235
937,937,0,259,1087,771078,94235
938,938,0,259,1087,771078,94235
939,939,0,259,1087,771078,94235
940,940,0,259,1087,771078,94235
941,941,0,259,1087,771078,94235
942,942,0,259,1087,771078,94235
943,943,0,259,1087,771078,94235
944,944,0,259,1087,771078,94235
945,945,0,259,1087,771078,94235
946,946,0,259,1087,771078,94235
947,947,0,259,1087,771078,94235
948,948,0,259,1087,771078,94235
949,949,0,259,1087,771078,94235
950,950,0,259,1087,771078,94235
951,951,0,259,1087,771078,94235
952,952,0,259,1087,771078,94235
953,953,0,259,1087,771078,94235
954,954,0,259,1087,771078,94235
955,955,0,259,1087,771078,94235
956,956,0,259,1087,771078,94235
957,957,0,259,1087,771078,94235
958,958,0,259,1087,771078,94235
959,959,0,259,1087,771078,94235
960,960,0,259,1087,771078,94235
961,961,0,259,1087,771078,94235
962,962,0,259,1087,771078,94235
963,963,0,259,1087,771078,94235
964,964,0,259,1087,771078,94235
965,965,0,259,1087,771078,94235
966,966,0,259,1087,771078,94235
967,967,0,259,1087,771078,94235
968,968,0,259,1087,771078,94235
969,969,0,259,1087,771078,94235
970,970,0,259,1087,771078,94235
971,971,0,259,1087,771078,94235
972,972,0,259,1087,771078,94235
973,973,0,259,1087,771078,94235
974,974,0,259,1087,771078,94235
975,975,0,259,1087,771078,94235
976,976,0,259,1087,771078,94235
977,977,0,259,1087,771078,94235
978,978,0,259,1087,771078,94235
979,979,0,259,1087,771078,94235
980,980,0,259,1087,771078,94235
981,981,0,259,1087,771078,94235
982,982,0,259,1087,771078,94235
983,983,0,259,1087,771078,94235
984,984,0,259,1087,771078,94235
985,985,0,259,1087,771078,94235
986,986,0,259,1087,771078,94235
987,987,0,259,1087,771078,94235
988,988,0,259,1087,771078,94235
989,989,0,259,1087,771078,94235
990,990,0,259,1087,771078,94235
991,991,0,259,1087,771078,94235
992,992,0,259,1087,771078,94235
993,993,0,259,1087,771078,94235
994,994,0,259,1087,771078,94235
995,995,0,259,1087,771078,94235
996,996,0,259,1087,771078,94235
997,997,0,259,1087,771078,94235
998,998,0,259,1087,771078,94235
999,999,0,259,1087,771078,94235
1000,1000,0,259,1087,771078,94235
1001,1001,0,259,1087,771078,94235
1002,1002,0,259,1087,771078,94235
1003,1003,0,259,1087,771078,94235
1004,1004,0,259,1087,771078,94235
1005,1005,0,259,1087,771078,94235
1006,1006,0,259,1087,771078,94235
1007,1007,0,259,1087,771078,94235
1008,1008,0,259,1087,771078,94235
1009,1009,0,259,1087,771078,94235
1010,1010,0,259,1087,771078,94235
1011,1011,0,259,1087,771078,94235
1012,1012,0,259,1087,771078,94235
1013,1013,0,259,1087,771078,94235
1014,1014,0,259,1087,771078,94235
1015,1015,0,259,1087,771078,94235
1016,1016,0,259,1087,771078,94235
1017,1017,0,259,1087,771078,94235
1018,1018,0,259,1087,771078,94235
1019,1019,0,259,1087,771078,94235
1020,1020,0,259,1087,771078,94235
1021,1021,0,259,1087,771078,94235
1022,1022,0,259,1087,771078,94235
1023,1023,0,259,1087,771078,94235
